,regressor,regressor_mode,center,coef_lower,coef,coef_upper,abs_coef
31,CUUR0000SA0R,additive,0.0,0.6747866032987879,0.6747866032987879,0.6747866032987879,0.6747866032987879
41,MORTGAGE30US,additive,0.0,-0.7384985857813529,-0.7384985857813529,-0.7384985857813529,0.7384985857813529
53,GVIPT52000S,additive,0.0,0.7409332902238521,0.7409332902238521,0.7409332902238521,0.7409332902238521
7,GVIPT50002S,additive,0.0,0.7578673958384782,0.7578673958384782,0.7578673958384782,0.7578673958384782
44,GVIPT51000S,additive,0.0,0.7625735670718844,0.7625735670718844,0.7625735670718844,0.7625735670718844
40,GVIPT51200S,additive,0.0,-0.8101757906712997,-0.8101757906712997,-0.8101757906712997,0.8101757906712997
0,GVIPT54100S,additive,0.0,0.8492506226826104,0.8492506226826104,0.8492506226826104,0.8492506226826104
60,DLTIIT,additive,0.0,0.8672136387006981,0.8672136387006981,0.8672136387006981,0.8672136387006981
12,GVIPT51100S,additive,0.0,-0.8689026314290433,-0.8689026314290433,-0.8689026314290433,0.8689026314290433
57,PCUADLVWRADLVWR,additive,0.0,-0.8876759067678954,-0.8876759067678954,-0.8876759067678954,0.8876759067678954
19,GVIPT54200S,additive,0.0,1.0534398562851175,1.0534398562851175,1.0534398562851175,1.0534398562851175
15,GVIPT52100S,additive,0.0,-1.0887384747742004,-1.0887384747742004,-1.0887384747742004,1.0887384747742004
4,TLAACBW027NBOG,additive,0.0,1.2714329437155407,1.2714329437155407,1.2714329437155407,1.2714329437155407
42,PCUASTDSVASTDSV,additive,0.0,1.3364755616449535,1.3364755616449535,1.3364755616449535,1.3364755616449535
1,GVIPT54000S,additive,0.0,-1.7839739739225833,-1.7839739739225833,-1.7839739739225833,1.7839739739225833
10,PCUATTDSVATTDSV,additive,0.0,-2.152529064363458,-2.152529064363458,-2.152529064363458,2.152529064363458
32,PCUATRANSATRANS,additive,0.0,-2.225160959600733,-2.225160959600733,-2.225160959600733,2.225160959600733
16,PCUATRNWRATRNWR,additive,0.0,3.2518665041367285,3.2518665041367285,3.2518665041367285,3.2518665041367285
